id,name,customer_id,email,currency,taxes_included,total_price,subtotal_price,total_discounts,total_line_items_price,total_tax,total_shipping_price_set_shop_money_amount,total_weight,financial_status,fulfillment_status,created_at,processed_at,updated_at,cancelled_at,cancel_reason,confirmed,test,buyer_accepts_marketing,source_name,referring_site,landing_site,shipping_address_country,shipping_address_country_code,shipping_address_city,customer_locale,presentment_currency,order_number,_weld_synced
500013,#VIT13,100013,customer_33932d50e4@yahoo.co.uk,GBP,True,11.89,11.89,2.1,13.99,1.98,0,70,paid,fulfilled,2024-07-01T15:15:17,2024-07-01T15:15:17,2024-07-01T15:38:17,,,True,False,True,web,https://www.tiktok.com/,/products/vitamin-d3,United Kingdom,GB,Edinburgh,en,GBP,1013,2024-07-01T15:15:17
500014,#VIT14,100014,customer_a3c3a95f3e@gmail.com,GBP,True,29.98,24.99,0.0,24.99,4.16,4.99,280,paid,fulfilled,2024-07-01T23:29:26,2024-07-01T23:29:26,2024-07-01T23:57:26,,,True,False,False,web,https://www.youtube.com/,/products/vitamin-d3,United Kingdom,GB,Liverpool,en,GBP,1014,2024-07-01T23:29:26
500015,#VIT15,100015,customer_e025b5159b@yahoo.co.uk,GBP,True,41.97,36.98,0.0,36.98,6.16,4.99,340,paid,fulfilled,2024-07-01T06:22:19,2024-07-01T06:22:19,2024-07-01T06:38:19,,,True,False,True,web,https://www.tiktok.com/,/products/vitamin-d3,United Kingdom,GB,London,en,GBP,1015,2024-07-01T06:22:19
500016,#VIT16,100016,customer_89deb442ec@icloud.com,GBP,True,89.98,89.98,0.0,89.98,15.0,0,330,paid,fulfilled,2024-07-01T18:21:42,2024-07-01T18:21:42,2024-07-01T18:22:42,,,True,False,False,web,https://www.youtube.com/,/products/ashwagandha,United Kingdom,GB,Nottingham,en,GBP,1016,2024-07-01T18:21:42
500017,#VIT17,100017,customer_07986d41d4@yahoo.co.uk,GBP,True,26.99,26.99,0.0,26.99,4.5,0,280,paid,fulfilled,2024-07-01T06:05:41,2024-07-01T06:05:41,2024-07-01T06:20:41,,,True,False,True,web,https://www.tiktok.com/,/products/cbd-gummies,United Kingdom,GB,Brighton,en,GBP,1017,2024-07-01T06:05:41
500018,#VIT18,100018,customer_1be1ef5ef1@gmail.com,GBP,True,29.99,29.99,0.0,29.99,5.0,0,50,paid,fulfilled,2024-07-01T19:16:53,2024-07-01T19:16:53,2024-07-01T19:41:53,,,True,False,False,web,https://www.google.com/,/products/collagen,United Kingdom,GB,London,en,GBP,1018,2024-07-01T19:16:53
500019,#VIT19,100019,customer_8a8eac8eae@outlook.com,GBP,True,67.98,62.99,7.0,69.99,10.5,4.99,120,paid,fulfilled,2024-07-01T13:12:53,2024-07-01T13:12:53,2024-07-01T13:35:53,,,True,False,True,web,https://www.instagram.com/,/products/cbd-oil-20,United Kingdom,GB,Cardiff,en,GBP,1019,2024-07-01T13:12:53
500020,#VIT20,100020,customer_6372b5b816@outlook.com,GBP,True,24.99,24.99,0.0,24.99,4.16,0,150,paid,fulfilled,2024-07-01T09:49:52,2024-07-01T09:49:52,2024-07-01T10:02:52,,,True,False,False,web,https://www.facebook.com/,/products/cbd-oil-10,United Kingdom,GB,Cardiff,en,GBP,1020,2024-07-01T09:49:52
500021,#VIT21,100021,customer_10e54ab2f0@protonmail.com,GBP,True,51.28,51.28,5.7,56.98,8.55,0,420,paid,fulfilled,2024-07-01T13:06:44,2024-07-01T13:06:44,2024-07-01T13:18:44,,,True,False,True,web,direct,/products/cbd-gummies,United Kingdom,GB,London,en,GBP,1021,2024-07-01T13:06:44
500022,#VIT22,100022,customer_70314ca6c2@outlook.com,GBP,True,13.98,9.99,0.0,9.99,1.67,3.99,60,paid,fulfilled,2024-07-01T19:52:31,2024-07-01T19:52:31,2024-07-01T19:58:31,,,True,False,False,web,direct,/products/cbd-gummies,United Kingdom,GB,Cardiff,en,GBP,1022,2024-07-01T19:52:31
500023,#VIT23,100023,customer_65feb6b8c9@mail.com,GBP,True,24.99,24.99,0.0,24.99,4.16,0,280,paid,fulfilled,2024-07-01T23:49:30,2024-07-01T23:49:30,2024-07-02T00:19:30,,,True,False,True,web,,/products/cbd-oil-20,United Kingdom,GB,Brighton,en,GBP,1023,2024-07-01T23:49:30
500024,#VIT24,100024,customer_a6b83cd033@mail.com,GBP,True,41.97,37.98,0.0,37.98,6.33,3.99,210,paid,fulfilled,2024-07-01T20:36:39,2024-07-01T20:36:39,2024-07-01T20:45:39,,,True,False,True,web,https://www.youtube.com/,/products/sleep-support,United Kingdom,GB,Cambridge,en,GBP,1024,2024-07-01T20:36:39
500025,#VIT25,100025,customer_e55a28b1bf@mail.com,GBP,True,53.98,49.99,0.0,49.99,8.33,3.99,50,paid,fulfilled,2024-07-01T14:35:00,2024-07-01T14:35:00,2024-07-01T14:43:00,,,True,False,False,web,direct,/products/sleep-support,United Kingdom,GB,Liverpool,en,GBP,1025,2024-07-01T14:35:00
500026,#VIT26,100026,customer_808d45ab3b@hotmail.com,GBP,True,49.99,49.99,0.0,49.99,8.33,0,50,paid,fulfilled,2024-07-01T20:50:01,2024-07-01T20:50:01,2024-07-01T21:06:01,,,True,False,False,web,https://www.instagram.com/,/products/vitamin-d3,United Kingdom,GB,Newcastle,en,GBP,1026,2024-07-01T20:50:01
500027,#VIT27,100027,customer_f9a595bbc8@icloud.com,GBP,True,186.98,186.98,33.0,219.98,31.16,0,240,paid,fulfilled,2024-07-01T23:21:22,2024-07-01T23:21:22,2024-07-01T23:46:22,,,True,False,False,web,https://www.facebook.com/,/products/cbd-oil-20,United Kingdom,GB,Newcastle,en,GBP,1027,2024-07-01T23:21:22
500028,#VIT28,100028,customer_5a09496f31@hotmail.com,GBP,True,41.98,41.98,0.0,41.98,7.0,0,140,paid,fulfilled,2024-07-01T21:17:46,2024-07-01T21:17:46,2024-07-01T21:23:46,,,True,False,True,web,,/products/cbd-oil-20,United Kingdom,GB,Bristol,en,GBP,1028,2024-07-01T21:17:46
500029,#VIT29,100029,customer_fa8c4b591e@gmail.com,GBP,True,13.98,9.99,0.0,9.99,1.67,3.99,60,paid,fulfilled,2024-07-01T07:03:35,2024-07-01T07:03:35,2024-07-01T07:22:35,,,True,False,True,web,,/products/vitamin-d3,United Kingdom,GB,Edinburgh,en,GBP,1029,2024-07-01T07:03:35
500030,#VIT30,100030,customer_9d0bea2cbb@icloud.com,GBP,True,89.97,89.97,10.0,99.97,14.99,0,710,paid,fulfilled,2024-07-01T11:03:16,2024-07-01T11:03:16,2024-07-01T11:13:16,,,True,False,True,web,https://www.facebook.com/,/products/cbd-oil-10,United Kingdom,GB,Sheffield,en,GBP,1030,2024-07-01T11:03:16
500031,#VIT31,100031,customer_c7a8558c63@icloud.com,GBP,True,66.97,62.98,0.0,62.98,10.5,3.99,110,paid,fulfilled,2024-07-01T19:38:38,2024-07-01T19:38:38,2024-07-01T19:52:38,,,True,False,True,web,https://www.youtube.com/,/products/cbd-oil-10,United Kingdom,GB,Cardiff,en,GBP,1031,2024-07-01T19:38:38
500032,#VIT32,100032,customer_d1e6b7d3d1@gmail.com,GBP,True,184.97,179.98,0.0,179.98,30.0,4.99,240,paid,fulfilled,2024-07-01T09:48:13,2024-07-01T09:48:13,2024-07-01T10:02:13,,,True,False,False,web,https://www.youtube.com/,/products/vitamin-d3,United Kingdom,GB,Bristol,en,GBP,1032,2024-07-01T09:48:13
500033,#VIT33,100033,customer_3695266895@protonmail.com,GBP,True,36.98,36.98,0.0,36.98,6.16,0,180,paid,fulfilled,2024-07-01T07:14:18,2024-07-01T07:14:18,2024-07-01T07:33:18,,,True,False,False,web,https://www.facebook.com/,/products/vitamin-d3,United Kingdom,GB,Manchester,en,GBP,1033,2024-07-01T07:14:18
500034,#VIT34,100034,customer_fc991ffed0@icloud.com,GBP,True,98.99,98.99,11.0,109.99,16.5,0,120,paid,fulfilled,2024-07-01T23:14:41,2024-07-01T23:14:41,2024-07-01T23:38:41,,,True,False,False,web,https://www.facebook.com/,/products/vitamin-d3,United Kingdom,GB,Manchester,en,GBP,1034,2024-07-01T23:14:41
500035,#VIT35,100035,customer_840510458f@outlook.com,GBP,True,22.98,22.98,0.0,22.98,3.83,0,120,paid,fulfilled,2024-07-01T20:44:19,2024-07-01T20:44:19,2024-07-01T21:08:19,,,True,False,True,web,https://www.facebook.com/,/products/cbd-oil-10,United Kingdom,GB,Manchester,en,GBP,1035,2024-07-01T20:44:19
500036,#VIT36,100036,customer_e6272e71ee@mail.com,GBP,True,76.96,71.97,0.0,71.97,11.99,4.99,190,paid,fulfilled,2024-07-01T13:43:53,2024-07-01T13:43:53,2024-07-01T13:49:53,,,True,False,False,web,direct,/products/vitamin-d3,United Kingdom,GB,Cambridge,en,GBP,1036,2024-07-01T13:43:53
500037,#VIT37,100037,customer_f90f6e6291@hotmail.com,GBP,True,41.98,37.99,0.0,37.99,6.33,3.99,110,paid,fulfilled,2024-07-01T14:11:37,2024-07-01T14:11:37,2024-07-01T14:22:37,,,True,False,False,web,https://www.google.com/,/products/cbd-gummies,United Kingdom,GB,Glasgow,en,GBP,1037,2024-07-01T14:11:37
500038,#VIT38,100038,customer_f7aac76dc7@mail.com,GBP,True,74.97,74.97,0.0,74.97,12.49,0,250,paid,fulfilled,2024-07-01T21:18:42,2024-07-01T21:18:42,2024-07-01T21:31:42,,,True,False,False,web,https://www.google.com/,/products/sleep-support,United Kingdom,GB,Oxford,en,GBP,1038,2024-07-01T21:18:42
500039,#VIT39,100039,customer_898867bb85@mail.com,GBP,True,16.98,12.99,0.0,12.99,2.17,3.99,60,paid,fulfilled,2024-07-01T23:29:26,2024-07-01T23:29:26,2024-07-01T23:31:26,,,True,False,True,web,,/products/cbd-oil-20,United Kingdom,GB,Cambridge,en,GBP,1039,2024-07-01T23:29:26
500040,#VIT40,100040,customer_ee9604ba4c@hotmail.com,GBP,True,86.98,86.98,0.0,86.98,14.5,0,230,paid,fulfilled,2024-07-01T15:28:56,2024-07-01T15:28:56,2024-07-01T15:46:56,,,True,False,True,web,https://www.tiktok.com/,/products/cbd-oil-10,United Kingdom,GB,Leeds,en,GBP,1040,2024-07-01T15:28:56
500041,#VIT41,100041,customer_2dce5a845d@outlook.com,GBP,True,92.98,92.98,0.0,92.98,15.5,0,250,paid,fulfilled,2024-07-01T09:29:07,2024-07-01T09:29:07,2024-07-01T09:45:07,,,True,False,True,web,,/products/cbd-oil-20,United Kingdom,GB,Glasgow,en,GBP,1041,2024-07-01T09:29:07
500042,#VIT42,100042,customer_b7704798a3@mail.com,GBP,True,13.99,13.99,0.0,13.99,2.33,0,70,paid,fulfilled,2024-07-01T12:58:38,2024-07-01T12:58:38,2024-07-01T13:12:38,,,True,False,True,web,,/products/cbd-gummies,United Kingdom,GB,Oxford,en,GBP,1042,2024-07-01T12:58:38
500043,#VIT43,100043,customer_1ff2499a84@outlook.com,GBP,True,22.98,18.99,0.0,18.99,3.16,3.99,80,paid,fulfilled,2024-07-01T06:18:46,2024-07-01T06:18:46,2024-07-01T06:36:46,,,True,False,False,web,https://www.instagram.com/,/products/ashwagandha,United Kingdom,GB,Brighton,en,GBP,1043,2024-07-01T06:18:46
500044,#VIT44,100044,customer_abaa211768@protonmail.com,GBP,True,157.96,153.97,0.0,153.97,25.66,3.99,510,paid,fulfilled,2024-07-01T23:24:29,2024-07-01T23:24:29,2024-07-01T23:40:29,,,True,False,False,web,https://www.tiktok.com/,/products/vitamin-d3,United Kingdom,GB,Nottingham,en,GBP,1044,2024-07-01T23:24:29
500045,#VIT45,100045,customer_37d0f121db@outlook.com,GBP,True,9.99,9.99,0.0,9.99,1.67,0,60,paid,fulfilled,2024-07-01T10:31:02,2024-07-01T10:31:02,2024-07-01T10:35:02,,,True,False,False,web,,/products/cbd-oil-10,United Kingdom,GB,Newcastle,en,GBP,1045,2024-07-01T10:31:02
500046,#VIT46,100046,customer_019009b3db@outlook.com,GBP,True,84.98,84.98,0.0,84.98,14.16,0,200,paid,fulfilled,2024-07-01T10:26:55,2024-07-01T10:26:55,2024-07-01T10:47:55,,,True,False,True,web,https://www.instagram.com/,/products/collagen,United Kingdom,GB,Nottingham,en,GBP,1046,2024-07-01T10:26:55
500047,#VIT47,100047,customer_b805e08566@protonmail.com,GBP,True,53.97,48.98,0.0,48.98,8.16,4.99,220,paid,fulfilled,2024-07-01T23:24:20,2024-07-01T23:24:20,2024-07-01T23:46:20,,,True,False,False,web,https://www.facebook.com/,/products/sleep-support,United Kingdom,GB,Manchester,en,GBP,1047,2024-07-01T23:24:20
500048,#VIT48,100048,customer_ad5c9b084e@mail.com,GBP,True,46.98,46.98,0.0,46.98,7.83,0,360,paid,fulfilled,2024-07-01T19:06:48,2024-07-01T19:06:48,2024-07-01T19:08:48,,,True,False,True,web,https://www.instagram.com/,/products/vitamin-d3,United Kingdom,GB,Birmingham,en,GBP,1048,2024-07-01T19:06:48
500049,#VIT49,100049,customer_e71c080c44@outlook.com,GBP,True,70.97,65.98,22.0,87.98,11.0,4.99,160,paid,fulfilled,2024-07-01T13:33:26,2024-07-01T13:33:26,2024-07-01T14:03:26,,,True,False,False,web,https://www.facebook.com/,/products/vitamin-d3,United Kingdom,GB,Nottingham,en,GBP,1049,2024-07-01T13:33:26
500050,#VIT50,100050,customer_8c85abec94@outlook.com,GBP,True,53.97,48.98,0.0,48.98,8.16,4.99,220,paid,fulfilled,2024-07-01T14:29:16,2024-07-01T14:29:16,2024-07-01T14:41:16,,,True,False,False,web,https://www.facebook.com/,/products/sleep-support,United Kingdom,GB,Glasgow,en,GBP,1050,2024-07-01T14:29:16
500051,#VIT51,100051,customer_3898b7be80@icloud.com,GBP,True,16.99,16.99,0.0,16.99,2.83,0,110,paid,fulfilled,2024-07-01T14:29:54,2024-07-01T14:29:54,2024-07-01T14:41:54,,,True,False,False,web,https://www.facebook.com/,/products/cbd-oil-10,United Kingdom,GB,Oxford,en,GBP,1051,2024-07-01T14:29:54
500052,#VIT52,100052,customer_3de74f78d8@yahoo.co.uk,GBP,True,39.73,39.73,13.25,52.98,6.62,0,320,paid,fulfilled,2024-07-01T18:17:00,2024-07-01T18:17:00,2024-07-01T18:37:00,,,True,False,False,web,https://www.facebook.com/,/products/sleep-support,United Kingdom,GB,Leeds,en,GBP,1052,2024-07-01T18:17:00
500053,#VIT53,100053,customer_3e88b8a07f@outlook.com,GBP,True,39.98,39.98,0.0,39.98,6.66,0,360,paid,fulfilled,2024-07-01T14:43:48,2024-07-01T14:43:48,2024-07-01T14:45:48,,,True,False,False,web,https://www.google.com/,/products/cbd-oil-10,United Kingdom,GB,Cambridge,en,GBP,1053,2024-07-01T14:43:48
500054,#VIT54,100054,customer_74559ea278@hotmail.com,GBP,True,49.99,49.99,0.0,49.99,8.33,0,50,paid,fulfilled,2024-07-01T15:20:47,2024-07-01T15:20:47,2024-07-01T15:47:47,,,True,False,True,web,,/products/collagen,United Kingdom,GB,Bristol,en,GBP,1054,2024-07-01T15:20:47
500055,#VIT55,100055,customer_25faa4a9fb@protonmail.com,GBP,True,29.99,29.99,0.0,29.99,5.0,0,50,paid,fulfilled,2024-07-01T16:51:07,2024-07-01T16:51:07,2024-07-01T17:13:07,,,True,False,False,web,,/products/cbd-gummies,United Kingdom,GB,Manchester,en,GBP,1055,2024-07-01T16:51:07
500056,#VIT56,100056,customer_520b85931c@mail.com,GBP,True,19.99,19.99,0.0,19.99,3.33,0,80,paid,fulfilled,2024-07-01T18:00:16,2024-07-01T18:00:16,2024-07-01T18:21:16,,,True,False,False,web,https://www.google.com/,/products/sleep-support,United Kingdom,GB,Leeds,en,GBP,1056,2024-07-01T18:00:16
500057,#VIT57,100057,customer_9086cb7d92@gmail.com,GBP,True,67.47,67.47,22.5,89.97,11.24,0,240,paid,fulfilled,2024-07-01T21:01:39,2024-07-01T21:01:39,2024-07-01T21:06:39,,,True,False,True,web,https://www.google.com/,/products/cbd-gummies,United Kingdom,GB,Liverpool,en,GBP,1057,2024-07-01T21:01:39
500058,#VIT58,100058,customer_ed1eebd76b@protonmail.com,GBP,True,119.96,114.97,0.0,114.97,19.16,4.99,340,paid,fulfilled,2024-07-01T09:06:15,2024-07-01T09:06:15,2024-07-01T09:30:15,,,True,False,True,web,https://www.tiktok.com/,/products/sleep-support,United Kingdom,GB,Manchester,en,GBP,1058,2024-07-01T09:06:15
500059,#VIT59,100059,customer_3cdf52a201@gmail.com,GBP,True,184.97,184.97,0.0,184.97,30.83,0,310,paid,fulfilled,2024-07-01T21:39:26,2024-07-01T21:39:26,2024-07-01T22:01:26,,,True,False,True,web,direct,/products/cbd-gummies,United Kingdom,GB,London,en,GBP,1059,2024-07-01T21:39:26
500060,#VIT60,100060,customer_ff83098b47@hotmail.com,GBP,True,154.96,154.96,0.0,154.96,25.83,0,510,paid,fulfilled,2024-07-01T18:17:12,2024-07-01T18:17:12,2024-07-01T18:25:12,,,True,False,False,web,https://www.youtube.com/,/products/cbd-oil-20,United Kingdom,GB,Manchester,en,GBP,1060,2024-07-01T18:17:12
500061,#VIT61,100061,customer_4fce032e14@icloud.com,GBP,True,26.99,26.99,0.0,26.99,4.5,0,280,paid,fulfilled,2024-07-01T23:13:37,2024-07-01T23:13:37,2024-07-01T23:14:37,,,True,False,True,web,https://www.google.com/,/products/cbd-oil-20,United Kingdom,GB,Sheffield,en,GBP,1061,2024-07-01T23:13:37
500062,#VIT62,100062,customer_90bb643aaa@gmail.com,GBP,True,21.59,21.59,5.4,26.99,3.6,0,280,paid,fulfilled,2024-07-01T14:51:11,2024-07-01T14:51:11,2024-07-01T14:57:11,,,True,False,True,web,https://www.google.com/,/products/sleep-support,United Kingdom,GB,Glasgow,en,GBP,1062,2024-07-01T14:51:11
500063,#VIT63,100063,customer_871841b1fe@icloud.com,GBP,True,24.98,19.99,0.0,19.99,3.33,4.99,80,paid,fulfilled,2024-07-01T22:07:47,2024-07-01T22:07:47,2024-07-01T22:15:47,,,True,False,False,web,https://www.google.com/,/products/sleep-support,United Kingdom,GB,Brighton,en,GBP,1063,2024-07-01T22:07:47
500064,#VIT64,100064,customer_5e64b782c0@outlook.com,GBP,True,50.97,46.98,0.0,46.98,7.83,3.99,160,paid,fulfilled,2024-07-01T22:19:29,2024-07-01T22:19:29,2024-07-01T22:42:29,,,True,False,False,web,https://www.google.com/,/products/cbd-oil-10,United Kingdom,GB,Edinburgh,en,GBP,1064,2024-07-01T22:19:29
500065,#VIT65,100065,customer_d6afcb9684@icloud.com,GBP,True,14.99,14.99,0.0,14.99,2.5,0,80,paid,fulfilled,2024-07-01T10:04:08,2024-07-01T10:04:08,2024-07-01T10:21:08,,,True,False,True,web,,/products/ashwagandha,United Kingdom,GB,Glasgow,en,GBP,1065,2024-07-01T10:04:08
500066,#VIT66,100066,customer_f95c80f4c3@yahoo.co.uk,GBP,True,19.98,14.99,0.0,14.99,2.5,4.99,80,paid,fulfilled,2024-07-01T09:50:44,2024-07-01T09:50:44,2024-07-01T10:04:44,,,True,False,False,web,https://www.facebook.com/,/products/vitamin-d3,United Kingdom,GB,Edinburgh,en,GBP,1066,2024-07-01T09:50:44
500067,#VIT67,100067,customer_acf9a6e48e@outlook.com,GBP,True,49.98,49.98,0.0,49.98,8.33,0,300,paid,fulfilled,2024-07-01T20:25:26,2024-07-01T20:25:26,2024-07-01T20:28:26,,,True,False,True,web,https://www.google.com/,/products/cbd-oil-10,United Kingdom,GB,Glasgow,en,GBP,1067,2024-07-01T20:25:26
500068,#VIT68,100068,customer_1a1372191a@mail.com,GBP,True,55.99,55.99,14.0,69.99,9.33,0,120,paid,fulfilled,2024-07-01T09:47:47,2024-07-01T09:47:47,2024-07-01T10:09:47,,,True,False,False,web,https://www.tiktok.com/,/products/collagen,United Kingdom,GB,Cambridge,en,GBP,1068,2024-07-01T09:47:47
500069,#VIT69,100069,customer_5f5c15f5bb@yahoo.co.uk,GBP,True,69.99,69.99,0.0,69.99,11.66,0,120,paid,fulfilled,2024-07-01T07:18:38,2024-07-01T07:18:38,2024-07-01T07:46:38,,,True,False,True,web,,/products/cbd-gummies,United Kingdom,GB,Manchester,en,GBP,1069,2024-07-01T07:18:38
500070,#VIT70,100070,customer_ee3bbef559@icloud.com,GBP,True,46.97,41.98,0.0,41.98,7.0,4.99,390,paid,fulfilled,2024-07-01T14:36:14,2024-07-01T14:36:14,2024-07-01T14:37:14,,,True,False,False,web,direct,/products/collagen,United Kingdom,GB,Newcastle,en,GBP,1070,2024-07-01T14:36:14
500071,#VIT71,100071,customer_e1fa867927@protonmail.com,GBP,True,22.99,22.99,0.0,22.99,3.83,0,60,refunded,,2024-07-01T14:01:11,2024-07-01T14:01:11,2024-07-01T14:14:11,2024-07-02T00:01:11,other,True,False,True,web,direct,/products/cbd-oil-10,United Kingdom,GB,Manchester,en,GBP,1071,2024-07-01T14:01:11
500072,#VIT72,100072,customer_2951932140@icloud.com,GBP,True,24.99,24.99,0.0,24.99,4.16,0,150,paid,fulfilled,2024-07-01T22:13:24,2024-07-01T22:13:24,2024-07-01T22:33:24,,,True,False,True,web,https://www.google.com/,/products/cbd-oil-20,United Kingdom,GB,Birmingham,en,GBP,1072,2024-07-01T22:13:24
500073,#VIT73,100073,customer_1bcf5760f8@yahoo.co.uk,GBP,True,28.98,24.99,0.0,24.99,4.16,3.99,140,paid,fulfilled,2024-07-01T07:43:05,2024-07-01T07:43:05,2024-07-01T08:08:05,,,True,False,False,web,https://www.instagram.com/,/products/vitamin-d3,United Kingdom,GB,Manchester,en,GBP,1073,2024-07-01T07:43:05
500074,#VIT74,100074,customer_6c10dd9d98@yahoo.co.uk,GBP,True,127.97,122.98,0.0,122.98,20.5,4.99,180,paid,fulfilled,2024-07-01T15:43:43,2024-07-01T15:43:43,2024-07-01T15:53:43,,,True,False,False,web,https://www.google.com/,/products/collagen,United Kingdom,GB,Bristol,en,GBP,1074,2024-07-01T15:43:43
500075,#VIT75,100075,customer_cf8aee46a3@icloud.com,GBP,True,25.98,20.99,7.0,27.99,3.5,4.99,180,paid,fulfilled,2024-07-01T15:20:07,2024-07-01T15:20:07,2024-07-01T15:38:07,,,True,False,False,web,https://www.instagram.com/,/products/cbd-oil-10,United Kingdom,GB,Glasgow,en,GBP,1075,2024-07-01T15:20:07
500076,#VIT76,100076,customer_e7ebbcd1e0@protonmail.com,GBP,True,73.98,69.99,0.0,69.99,11.66,3.99,120,paid,fulfilled,2024-07-01T07:27:01,2024-07-01T07:27:01,2024-07-01T07:48:01,,,True,False,False,web,https://www.google.com/,/products/vitamin-d3,United Kingdom,GB,London,en,GBP,1076,2024-07-01T07:27:01
500077,#VIT77,100077,customer_57d486b8f4@icloud.com,GBP,True,69.97,69.97,0.0,69.97,11.66,0,370,paid,fulfilled,2024-07-01T16:10:51,2024-07-01T16:10:51,2024-07-01T16:23:51,,,True,False,False,web,https://www.tiktok.com/,/products/collagen,United Kingdom,GB,Bristol,en,GBP,1077,2024-07-01T16:10:51
500078,#VIT78,100078,customer_6206c4599e@hotmail.com,GBP,True,44.98,44.98,0.0,44.98,7.5,0,130,paid,fulfilled,2024-07-01T16:14:21,2024-07-01T16:14:21,2024-07-01T16:26:21,,,True,False,False,web,direct,/products/collagen,United Kingdom,GB,Birmingham,en,GBP,1078,2024-07-01T16:14:21
